DieaseName,Link,GeneSymbol
C,1,DR1
C,1,SCML1
C,1,TMCC1
C,1,DICER1
C,1,HNRNPA1
C,1,PPWD1
C,1,43166
C,1,RBM25
C,1,NUP58
C,1,RNF217
C,1,SLFN5
C,1,CLIP1
C,1,ATF2
C,1,PHACTR2
C,1,JMY
C,1,ZBTB1
C,1,CHD1
C,1,MAN2A1
C,1,CNOT7
C,1,FASTKD2
C,1,RBBP6
C,1,WHAMMP2///WHAMMP3
C,1,RUFY2
C,1,SBF2
C,1,GOLGA4
C,1,INO80D
C,1,KLHL24
C,1,LOC100506123///LOC100506076
C,1,KLF12
C,1,HAUS3
C,1,ZMYM2
C,1,MYL12A
C,1,STXBP3
C,1,SRSF3
C,1,TBRG1
C,1,ATAD2B
C,1,KRR1
C,1,LOC100131541
C,1,CUL3
C,1,DLEU2
C,1,FNBP1
C,1,DIAPH2
C,1,PPP1CB
C,1,RALGPS2
C,1,ERCC6L2
C,1,TRA2A
C,1,ATAD2
C,1,CCDC91
C,1,UTRN
C,1,STON1
C,1,PRKAA1
C,1,ZDBF2
C,1,EML4
C,1,SKIL
C,1,TCF7L2
C,1,LOC401261
C,1,TNRC6B
C,1,VIM
C,1,TRIP12
C,1,ADAM9
C,1,FBXO32
C,1,RTN4
C,1,ARL5B
C,1,ARID2
C,1,ARHGAP18
C,1,FCF1
C,1,NSUN6
C,1,PSMD6-AS2
C,1,MGEA5
C,1,SRSF4
C,1,PAPD4
C,1,NAV2
C,1,MKNK1
C,1,INPP4B
C,1,DKFZP586I1420
C,1,PDK4
C,1,GSAP
C,1,RORA
C,1,VCAN
C,1,NDUFA5
C,1,43165
C,1,SP100
C,1,ABCA1
C,1,HIST1H2BC
C,1,C2orf88
C,1,PWAR6
C,1,MEG3
C,1,TAF15
C,1,SVIL
C,1,ACVR2A
C,1,CD24
C,1,LPAR6
C,1,SCG5
C,1,WDFY2
C,1,TFDP2
C,1,MYBL1
C,1,ZBTB10
C,1,CPXM2
D,1,MAPK6
D,1,ANK3
D,1,MBP
D,1,DDX6
D,1,CR1
D,1,RBL1
D,1,PDLIM1
D,1,ZNF185
D,1,CREM
D,1,IDS
D,1,PPP3CA
D,1,GNAQ
D,1,LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW
D,1,ETV4
D,1,TXK
D,1,DNAJC7
D,1,ENTPD1
D,1,PPIL2
D,1,P2RY10
D,1,PDZK1IP1
D,1,ACTG1P4///AMY2B///AMY2A///AMY1C///AMY1B///AMY1A
D,1,CRISP3
D,1,LOC100506639///ZNF131
D,1,NR4A3
D,1,C5
D,1,GRM8
D,1,SNRK
D,1,KRAS
D,1,NEO1
E,1,RORA
E,1,DNAJC7
E,1,BCLAF1
E,1,TAF15
E,1,IL6ST
E,1,AKT2
E,1,AKAP13
E,1,MBNL2
E,1,MBNL1
E,1,PIK3CB
E,1,GNAL
E,1,LPP
E,1,TRIO
E,1,MIR612///NEAT1
E,1,ACACB
E,1,UTRN
E,1,DDX6
E,1,VCL
E,1,EPHA4
E,1,ADAM12
E,1,RAPGEF1
E,1,PDE4D
E,1,PCDH11Y///PCDH11X
E,1,NFIB
E,1,PDE3A
E,1,WISP2
E,1,LAMA2
E,1,TRIM58
F,1,NAV2
F,1,FOS
F,1,FOSB
F,1,SLC35F6///CENPA
F,1,DUSP1
F,1,PDE4B
F,1,ZFP36
F,1,JUN
F,1,HES1
F,1,CSRNP1
F,1,HBA2///HBA1
F,1,THBS1
